date,meantempm,maxtempm,mintempm,meantempm_1,meantempm_2,meantempm_3,meandewptm_1,meandewptm_2,meandewptm_3,meanpressurem_1,meanpressurem_2,meanpressurem_3,maxhumidity_1,maxhumidity_2,maxhumidity_3,minhumidity_1,minhumidity_2,minhumidity_3,maxtempm_1,maxtempm_2,maxtempm_3,mintempm_1,mintempm_2,mintempm_3,maxdewptm_1,maxdewptm_2,maxdewptm_3,mindewptm_1,mindewptm_2,mindewptm_3,maxpressurem_1,maxpressurem_2,maxpressurem_3,minpressurem_1,minpressurem_2,minpressurem_3,precipm_1,precipm_2,precipm_3
2009-01-15,0.041666666666666664,1.0,-2.0,-2.25,-3.4166666666666665,-3.6666666666666665,-2.2083333333333335,-3.375,-3.8333333333333335,1020.9166666666666,1027.2083333333333,1031.125,99.0,94.0,98.0,98.0,92.0,93.0,0.0,0.0,-1.0,-6.0,-5.0,-6.0,1.0,-1.0,-1.0,-5.0,-5.0,-6.0,1024.0,1030.0,1033.0,1017.0,1024.0,1030.0,0.0,0.0,0.0
2009-01-16,-0.4166666666666667,0.0,-1.0,0.041666666666666664,-2.25,-3.4166666666666665,0.2916666666666667,-2.2083333333333335,-3.375,1015.9166666666666,1020.9166666666666,1027.2083333333333,100.0,99.0,94.0,99.0,98.0,92.0,1.0,0.0,0.0,-2.0,-6.0,-5.0,2.0,1.0,-1.0,-2.0,-5.0,-5.0,1017.0,1024.0,1030.0,1014.0,1017.0,1024.0,0.0,0.0,0.0
2009-01-17,-2.4166666666666665,-1.0,-4.0,-0.4166666666666667,0.041666666666666664,-2.25,-0.4166666666666667,0.2916666666666667,-2.2083333333333335,1016.2083333333334,1015.9166666666666,1020.9166666666666,99.0,100.0,99.0,97.0,99.0,98.0,0.0,1.0,0.0,-1.0,-2.0,-6.0,0.0,2.0,1.0,-1.0,-2.0,-5.0,1017.0,1017.0,1024.0,1016.0,1014.0,1017.0,0.0,0.0,0.0
2009-01-18,-4.5,-4.0,-5.0,-2.4166666666666665,-0.4166666666666667,0.041666666666666664,-2.9166666666666665,-0.4166666666666667,0.2916666666666667,1015.0,1016.2083333333334,1015.9166666666666,97.0,99.0,100.0,96.0,97.0,99.0,-1.0,0.0,1.0,-4.0,-1.0,-2.0,-1.0,0.0,2.0,-5.0,-1.0,-2.0,1015.0,1017.0,1017.0,1015.0,1016.0,1014.0,0.0,0.0,0.0
2009-01-19,-4.916666666666667,-3.0,-7.0,-4.5,-2.4166666666666665,-0.4166666666666667,-4.875,-2.9166666666666665,-0.4166666666666667,1012.3333333333334,1015.0,1016.2083333333334,97.0,97.0,99.0,95.0,96.0,97.0,-4.0,-1.0,0.0,-5.0,-4.0,-1.0,-4.0,-1.0,0.0,-5.0,-5.0,-1.0,1014.0,1015.0,1017.0,1010.0,1015.0,1016.0,0.0,0.0,0.0
2009-01-20,-2.4166666666666665,0.0,-5.0,-4.916666666666667,-4.5,-2.4166666666666665,-4.916666666666667,-4.875,-2.9166666666666665,1009.875,1012.3333333333334,1015.0,99.0,97.0,97.0,98.0,95.0,96.0,-3.0,-4.0,-1.0,-7.0,-5.0,-4.0,-3.0,-4.0,-1.0,-6.0,-5.0,-5.0,1011.0,1014.0,1015.0,1009.0,1010.0,1015.0,0.0,0.0,0.0
2009-01-21,-1.7916666666666667,-1.0,-3.0,-2.4166666666666665,-4.916666666666667,-4.5,-2.25,-4.916666666666667,-4.875,1015.7083333333334,1009.875,1012.3333333333334,99.0,99.0,97.0,96.0,98.0,95.0,0.0,-3.0,-4.0,-5.0,-7.0,-5.0,1.0,-3.0,-4.0,-5.0,-6.0,-5.0,1020.0,1011.0,1014.0,1011.0,1009.0,1010.0,0.0,0.0,0.0
2009-01-22,0.5833333333333334,1.0,-1.0,-1.7916666666666667,-2.4166666666666665,-4.916666666666667,-2.2916666666666665,-2.25,-4.916666666666667,1021.7916666666666,1015.7083333333334,1009.875,97.0,99.0,99.0,96.0,96.0,98.0,-1.0,0.0,-3.0,-3.0,-5.0,-7.0,-1.0,1.0,-3.0,-3.0,-5.0,-6.0,1023.0,1020.0,1011.0,1019.0,1011.0,1009.0,0.0,0.0,0.0
2009-01-23,0.9166666666666666,1.0,0.0,0.5833333333333334,-1.7916666666666667,-2.4166666666666665,0.4166666666666667,-2.2916666666666665,-2.25,1017.0833333333334,1021.7916666666666,1015.7083333333334,100.0,97.0,99.0,99.0,96.0,96.0,1.0,-1.0,0.0,-1.0,-3.0,-5.0,1.0,-1.0,1.0,-2.0,-3.0,-5.0,1021.0,1023.0,1020.0,1011.0,1019.0,1011.0,0.0,0.0,0.0
2009-01-24,1.1666666666666667,2.0,0.0,0.9166666666666666,0.5833333333333334,-1.7916666666666667,0.9166666666666666,0.4166666666666667,-2.2916666666666665,1005.4166666666666,1017.0833333333334,1021.7916666666666,100.0,100.0,97.0,98.0,99.0,96.0,1.0,1.0,-1.0,0.0,-1.0,-3.0,1.0,1.0,-1.0,0.0,-2.0,-3.0,1011.0,1021.0,1023.0,999.0,1011.0,1019.0,0.0,0.0,0.0
2009-01-25,1.5833333333333333,2.0,1.0,1.1666666666666667,0.9166666666666666,0.5833333333333334,1.2083333333333333,0.9166666666666666,0.4166666666666667,996.875,1005.4166666666666,1017.0833333333334,100.0,100.0,100.0,99.0,98.0,99.0,2.0,1.0,1.0,0.0,0.0,-1.0,2.0,1.0,1.0,0.0,0.0,-2.0,999.0,1011.0,1021.0,995.0,999.0,1011.0,0.0,0.0,0.0
2009-01-26,1.1666666666666667,2.0,0.0,1.5833333333333333,1.1666666666666667,0.9166666666666666,1.75,1.2083333333333333,0.9166666666666666,1002.0833333333334,996.875,1005.4166666666666,100.0,100.0,100.0,99.0,99.0,98.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,1005.0,999.0,1011.0,999.0,995.0,999.0,0.0,0.0,0.0
2009-01-27,0.7916666666666666,1.0,0.0,1.1666666666666667,1.5833333333333333,1.1666666666666667,1.2916666666666667,1.75,1.2083333333333333,1008.5,1002.0833333333334,996.875,100.0,100.0,100.0,99.0,99.0,99.0,2.0,2.0,2.0,0.0,1.0,0.0,2.0,2.0,2.0,1.0,1.0,0.0,1011.0,1005.0,999.0,1006.0,999.0,995.0,0.0,0.0,0.0
2009-01-28,1.25,3.0,0.0,0.7916666666666666,1.1666666666666667,1.5833333333333333,0.9166666666666666,1.2916666666666667,1.75,1013.75,1008.5,1002.0833333333334,100.0,100.0,100.0,99.0,99.0,99.0,1.0,2.0,2.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,1.0,1.0,1016.0,1011.0,1005.0,1011.0,1006.0,999.0,0.0,0.0,0.0
2009-01-29,0.125,1.0,-2.0,1.25,0.7916666666666666,1.1666666666666667,1.875,0.9166666666666666,1.2916666666666667,1015.875,1013.75,1008.5,100.0,100.0,100.0,99.0,99.0,99.0,3.0,1.0,2.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,0.0,1.0,1016.0,1016.0,1011.0,1015.0,1011.0,1006.0,0.0,0.0,0.0
2009-01-30,-0.5,1.0,-1.0,0.125,1.25,0.7916666666666666,-0.125,1.875,0.9166666666666666,1017.4166666666666,1015.875,1013.75,100.0,100.0,100.0,94.0,99.0,99.0,1.0,3.0,1.0,-2.0,0.0,0.0,2.0,3.0,1.0,-2.0,1.0,0.0,1019.0,1016.0,1016.0,1016.0,1015.0,1011.0,0.0,0.0,0.0
2009-01-31,-1.3333333333333333,-1.0,-2.0,-0.5,0.125,1.25,-1.25,-0.125,1.875,1019.0833333333334,1017.4166666666666,1015.875,95.0,100.0,100.0,94.0,94.0,99.0,1.0,1.0,3.0,-1.0,-2.0,0.0,-1.0,2.0,3.0,-2.0,-2.0,1.0,1020.0,1019.0,1016.0,1018.0,1016.0,1015.0,0.0,0.0,0.0
2009-02-01,-4.083333333333333,-2.0,-7.0,-1.3333333333333333,-0.5,0.125,-2.875,-1.25,-0.125,1019.5,1019.0833333333334,1017.4166666666666,94.0,95.0,100.0,90.0,94.0,94.0,-1.0,1.0,1.0,-2.0,-1.0,-2.0,-2.0,-1.0,2.0,-4.0,-2.0,-2.0,1022.0,1020.0,1019.0,1018.0,1018.0,1016.0,0.0,0.0,0.0
2009-02-02,-7.916666666666667,-6.0,-10.0,-4.083333333333333,-1.3333333333333333,-0.5,-5.875,-2.875,-1.25,1024.9583333333333,1019.5,1019.0833333333334,89.0,94.0,95.0,86.0,90.0,94.0,-2.0,-1.0,1.0,-7.0,-2.0,-1.0,-4.0,-2.0,-1.0,-9.0,-4.0,-2.0,1028.0,1022.0,1020.0,1022.0,1018.0,1018.0,0.0,0.0,0.0
2009-02-03,-6.75,-3.0,-10.0,-7.916666666666667,-4.083333333333333,-1.3333333333333333,-10.041666666666666,-5.875,-2.875,1028.5833333333333,1024.9583333333333,1019.5,85.0,89.0,94.0,84.0,86.0,90.0,-6.0,-2.0,-1.0,-10.0,-7.0,-2.0,-9.0,-4.0,-2.0,-11.0,-9.0,-4.0,1030.0,1028.0,1022.0,1027.0,1022.0,1018.0,0.0,0.0,0.0
2009-02-04,-0.2916666666666667,1.0,-3.0,-6.75,-7.916666666666667,-4.083333333333333,-8.0,-10.041666666666666,-5.875,1027.25,1028.5833333333333,1024.9583333333333,94.0,85.0,89.0,86.0,84.0,86.0,-3.0,-6.0,-2.0,-10.0,-10.0,-7.0,-4.0,-9.0,-4.0,-11.0,-11.0,-9.0,1030.0,1030.0,1028.0,1021.0,1027.0,1022.0,0.0,0.0,0.0
2009-02-05,0.9583333333333334,3.0,0.0,-0.2916666666666667,-6.75,-7.916666666666667,-0.8333333333333334,-8.0,-10.041666666666666,1009.2916666666666,1027.25,1028.5833333333333,99.0,94.0,85.0,93.0,86.0,84.0,1.0,-3.0,-6.0,-3.0,-10.0,-10.0,1.0,-4.0,-9.0,-4.0,-11.0,-11.0,1020.0,1030.0,1030.0,1003.0,1021.0,1027.0,0.0,0.0,0.0
2009-02-06,1.9583333333333333,4.0,1.0,0.9583333333333334,-0.2916666666666667,-6.75,1.0416666666666667,-0.8333333333333334,-8.0,1004.4166666666666,1009.2916666666666,1027.25,98.0,99.0,94.0,96.0,93.0,86.0,3.0,1.0,-3.0,0.0,-3.0,-10.0,3.0,1.0,-4.0,0.0,-4.0,-11.0,1006.0,1020.0,1030.0,1003.0,1003.0,1021.0,0.0,0.0,0.0
2009-02-07,3.25,7.0,1.0,1.9583333333333333,0.9583333333333334,-0.2916666666666667,1.9583333333333333,1.0416666666666667,-0.8333333333333334,1006.625,1004.4166666666666,1009.2916666666666,99.0,98.0,99.0,98.0,96.0,93.0,4.0,3.0,1.0,1.0,0.0,-3.0,4.0,3.0,1.0,1.0,0.0,-4.0,1007.0,1006.0,1020.0,1006.0,1003.0,1003.0,0.0,0.0,0.0
2009-02-08,5.5,7.0,3.0,3.25,1.9583333333333333,0.9583333333333334,2.875,1.9583333333333333,1.0416666666666667,1006.625,1006.625,1004.4166666666666,99.0,99.0,98.0,97.0,98.0,96.0,7.0,4.0,3.0,1.0,1.0,0.0,6.0,4.0,3.0,1.0,1.0,0.0,1007.0,1007.0,1006.0,1006.0,1006.0,1003.0,0.0,0.0,0.0
2009-02-09,4.958333333333333,6.0,3.0,5.5,3.25,1.9583333333333333,5.166666666666667,2.875,1.9583333333333333,1002.3333333333334,1006.625,1006.625,100.0,99.0,99.0,97.0,97.0,98.0,7.0,7.0,4.0,3.0,1.0,1.0,6.0,6.0,4.0,3.0,1.0,1.0,1006.0,1007.0,1007.0,998.0,1006.0,1006.0,0.0,0.0,0.0
2009-02-10,0.75,2.0,-2.0,4.958333333333333,5.5,3.25,4.666666666666667,5.166666666666667,2.875,997.25,1002.3333333333334,1006.625,98.0,100.0,99.0,94.0,97.0,97.0,6.0,7.0,7.0,3.0,3.0,1.0,6.0,6.0,6.0,2.0,3.0,1.0,1002.0,1006.0,1007.0,995.0,998.0,1006.0,0.0,0.0,0.0
2009-02-11,0.16666666666666666,3.0,-2.0,0.75,4.958333333333333,5.5,0.0,4.666666666666667,5.166666666666667,1005.5416666666666,997.25,1002.3333333333334,94.0,98.0,100.0,92.0,94.0,97.0,2.0,6.0,7.0,-2.0,3.0,3.0,2.0,6.0,6.0,-1.0,2.0,3.0,1007.0,1002.0,1006.0,1002.0,995.0,998.0,0.0,0.0,0.0
2009-02-12,1.5833333333333333,3.0,0.0,0.16666666666666666,0.75,4.958333333333333,-0.9583333333333334,0.0,4.666666666666667,1006.2916666666666,1005.5416666666666,997.25,96.0,94.0,98.0,90.0,92.0,94.0,3.0,2.0,6.0,-2.0,-2.0,3.0,0.0,2.0,6.0,-2.0,-1.0,2.0,1007.0,1007.0,1002.0,1006.0,1002.0,995.0,0.0,0.0,0.0
2009-02-13,1.125,2.0,0.0,1.5833333333333333,0.16666666666666666,0.75,1.5,-0.9583333333333334,0.0,1005.75,1006.2916666666666,1005.5416666666666,100.0,96.0,94.0,96.0,90.0,92.0,3.0,3.0,2.0,0.0,-2.0,-2.0,3.0,0.0,2.0,0.0,-2.0,-1.0,1007.0,1007.0,1007.0,1004.0,1006.0,1002.0,0.0,0.0,0.0
2009-02-14,0.7083333333333334,3.0,-2.0,1.125,1.5833333333333333,0.16666666666666666,1.0416666666666667,1.5,-0.9583333333333334,1002.125,1005.75,1006.2916666666666,100.0,100.0,96.0,98.0,96.0,90.0,2.0,3.0,3.0,0.0,0.0,-2.0,2.0,3.0,0.0,0.0,0.0,-2.0,1003.0,1007.0,1007.0,1001.0,1004.0,1006.0,0.0,0.0,0.0
2009-02-15,0.25,2.0,-2.0,0.7083333333333334,1.125,1.5833333333333333,-0.08333333333333333,1.0416666666666667,1.5,1006.125,1002.125,1005.75,97.0,100.0,100.0,95.0,98.0,96.0,3.0,2.0,3.0,-2.0,0.0,0.0,1.0,2.0,3.0,-1.0,0.0,0.0,1009.0,1003.0,1007.0,1002.0,1001.0,1004.0,0.0,0.0,0.0
2009-02-16,-1.0,0.0,-2.0,0.25,0.7083333333333334,1.125,-0.375,-0.08333333333333333,1.0416666666666667,1009.8333333333334,1006.125,1002.125,95.0,97.0,100.0,94.0,95.0,98.0,2.0,3.0,2.0,-2.0,-2.0,0.0,1.0,1.0,2.0,-2.0,-1.0,0.0,1012.0,1009.0,1003.0,1008.0,1002.0,1001.0,0.0,0.0,0.0
2009-02-17,-2.3333333333333335,-1.0,-4.0,-1.0,0.25,0.7083333333333334,-2.4166666666666665,-0.375,-0.08333333333333333,1012.7083333333334,1009.8333333333334,1006.125,94.0,95.0,97.0,86.0,94.0,95.0,0.0,2.0,3.0,-2.0,-2.0,-2.0,-1.0,1.0,1.0,-4.0,-2.0,-1.0,1013.0,1012.0,1009.0,1012.0,1008.0,1002.0,0.0,0.0,0.0
2009-02-18,-2.1666666666666665,-1.0,-4.0,-2.3333333333333335,-1.0,0.25,-5.625,-2.4166666666666665,-0.375,1013.9583333333334,1012.7083333333334,1009.8333333333334,85.0,94.0,95.0,83.0,86.0,94.0,-1.0,0.0,2.0,-4.0,-2.0,-2.0,-4.0,-1.0,1.0,-7.0,-4.0,-2.0,1017.0,1013.0,1012.0,1012.0,1012.0,1008.0,0.0,0.0,0.0
2009-02-19,-2.9583333333333335,0.0,-6.0,-2.1666666666666665,-2.3333333333333335,-1.0,-3.25,-5.625,-2.4166666666666665,1017.7916666666666,1013.9583333333334,1012.7083333333334,99.0,85.0,94.0,94.0,83.0,86.0,-1.0,-1.0,0.0,-4.0,-4.0,-2.0,-2.0,-4.0,-1.0,-5.0,-7.0,-4.0,1018.0,1017.0,1013.0,1017.0,1012.0,1012.0,0.0,0.0,0.0
2009-02-20,-2.3333333333333335,0.0,-5.0,-2.9583333333333335,-2.1666666666666665,-2.3333333333333335,-3.0,-3.25,-5.625,1019.0833333333334,1017.7916666666666,1013.9583333333334,99.0,99.0,85.0,97.0,94.0,83.0,0.0,-1.0,-1.0,-6.0,-4.0,-4.0,-1.0,-2.0,-4.0,-6.0,-5.0,-7.0,1022.0,1018.0,1017.0,1017.0,1017.0,1012.0,0.0,0.0,0.0
2009-02-21,-4.375,-3.0,-6.0,-2.3333333333333335,-2.9583333333333335,-2.1666666666666665,-2.4583333333333335,-3.0,-3.25,1023.9166666666666,1019.0833333333334,1017.7916666666666,98.0,99.0,99.0,97.0,97.0,94.0,0.0,0.0,-1.0,-5.0,-6.0,-4.0,0.0,-1.0,-2.0,-5.0,-6.0,-5.0,1025.0,1022.0,1018.0,1022.0,1017.0,1017.0,0.0,0.0,0.0
2009-02-22,-5.916666666666667,-4.0,-9.0,-4.375,-2.3333333333333335,-2.9583333333333335,-4.666666666666667,-2.4583333333333335,-3.0,1025.0416666666667,1023.9166666666666,1019.0833333333334,98.0,98.0,99.0,97.0,97.0,97.0,-3.0,0.0,0.0,-6.0,-5.0,-6.0,-4.0,0.0,-1.0,-6.0,-5.0,-6.0,1026.0,1025.0,1022.0,1025.0,1022.0,1017.0,0.0,0.0,0.0
2009-02-23,-6.75,-5.0,-10.0,-5.916666666666667,-4.375,-2.3333333333333335,-6.333333333333333,-4.666666666666667,-2.4583333333333335,1022.8333333333334,1025.0416666666667,1023.9166666666666,97.0,98.0,98.0,95.0,97.0,97.0,-4.0,-3.0,0.0,-9.0,-6.0,-5.0,-5.0,-4.0,0.0,-10.0,-6.0,-5.0,1025.0,1026.0,1025.0,1021.0,1025.0,1022.0,0.0,0.0,0.0
2009-02-24,-6.291666666666667,-2.0,-10.0,-6.75,-5.916666666666667,-4.375,-7.208333333333333,-6.333333333333333,-4.666666666666667,1019.125,1022.8333333333334,1025.0416666666667,96.0,97.0,98.0,95.0,95.0,97.0,-5.0,-4.0,-3.0,-10.0,-9.0,-6.0,-5.0,-5.0,-4.0,-10.0,-10.0,-6.0,1021.0,1025.0,1026.0,1018.0,1021.0,1025.0,0.0,0.0,0.0
2009-02-25,-5.5,-2.0,-11.0,-6.291666666666667,-6.75,-5.916666666666667,-6.625,-7.208333333333333,-6.333333333333333,1023.9583333333334,1019.125,1022.8333333333334,97.0,96.0,97.0,93.0,95.0,95.0,-2.0,-5.0,-4.0,-10.0,-10.0,-9.0,-4.0,-5.0,-5.0,-10.0,-10.0,-10.0,1027.0,1021.0,1025.0,1021.0,1018.0,1021.0,0.0,0.0,0.0
2009-02-26,-1.625,1.0,-7.0,-5.5,-6.291666666666667,-6.75,-6.333333333333333,-6.625,-7.208333333333333,1025.75,1023.9583333333334,1019.125,98.0,97.0,96.0,97.0,93.0,95.0,-2.0,-2.0,-5.0,-11.0,-10.0,-10.0,-4.0,-4.0,-5.0,-10.0,-10.0,-10.0,1027.0,1027.0,1021.0,1023.0,1021.0,1018.0,0.0,0.0,0.0
2009-02-27,0.5833333333333334,2.0,0.0,-1.625,-5.5,-6.291666666666667,-1.9166666666666667,-6.333333333333333,-6.625,1016.875,1025.75,1023.9583333333334,98.0,98.0,97.0,97.0,97.0,93.0,1.0,-2.0,-2.0,-7.0,-11.0,-10.0,0.0,-4.0,-4.0,-6.0,-10.0,-10.0,1023.0,1027.0,1027.0,1012.0,1023.0,1021.0,0.0,0.0,0.0
2009-02-28,0.7083333333333334,4.0,-1.0,0.5833333333333334,-1.625,-5.5,0.4166666666666667,-1.9166666666666667,-6.333333333333333,1010.2083333333334,1016.875,1025.75,98.0,98.0,98.0,97.0,97.0,97.0,2.0,1.0,-2.0,0.0,-7.0,-11.0,1.0,0.0,-4.0,0.0,-6.0,-10.0,1012.0,1023.0,1027.0,1010.0,1012.0,1023.0,0.0,0.0,0.0
2009-03-01,-1.9583333333333333,0.0,-3.0,0.7083333333333334,0.5833333333333334,-1.625,0.3333333333333333,0.4166666666666667,-1.9166666666666667,1009.2083333333334,1010.2083333333334,1016.875,98.0,98.0,98.0,96.0,97.0,97.0,4.0,2.0,1.0,-1.0,0.0,-7.0,2.0,1.0,0.0,-2.0,0.0,-6.0,1012.0,1012.0,1023.0,1008.0,1010.0,1012.0,0.9,0.0,0.0
2009-03-02,-2.0416666666666665,0.0,-4.0,-1.9583333333333333,0.7083333333333334,0.5833333333333334,-3.1666666666666665,0.3333333333333333,0.4166666666666667,1014.5416666666666,1009.2083333333334,1010.2083333333334,96.0,98.0,98.0,92.0,96.0,97.0,0.0,4.0,2.0,-3.0,-1.0,0.0,-2.0,2.0,1.0,-4.0,-2.0,0.0,1017.0,1012.0,1012.0,1012.0,1008.0,1010.0,0.0,0.9,0.0
2009-03-03,-1.2916666666666667,0.0,-4.0,-2.0416666666666665,-1.9583333333333333,0.7083333333333334,-2.9583333333333335,-3.1666666666666665,0.3333333333333333,1017.7083333333334,1014.5416666666666,1009.2083333333334,94.0,96.0,98.0,93.0,92.0,96.0,0.0,0.0,4.0,-4.0,-3.0,-1.0,-1.0,-2.0,2.0,-4.0,-4.0,-2.0,1018.0,1017.0,1012.0,1017.0,1012.0,1008.0,0.0,0.0,0.9
2009-03-04,-0.9583333333333334,2.0,-5.0,-1.2916666666666667,-2.0416666666666665,-1.9583333333333333,-2.0833333333333335,-2.9583333333333335,-3.1666666666666665,1018.25,1017.7083333333334,1014.5416666666666,96.0,94.0,96.0,93.0,93.0,92.0,0.0,0.0,0.0,-4.0,-4.0,-3.0,-1.0,-1.0,-2.0,-4.0,-4.0,-4.0,1019.0,1018.0,1017.0,1018.0,1017.0,1012.0,0.0,0.0,0.0
2009-03-05,-0.20833333333333334,2.0,-2.0,-0.9583333333333334,-1.2916666666666667,-2.0416666666666665,-1.875,-2.0833333333333335,-2.9583333333333335,1020.125,1018.25,1017.7083333333334,97.0,96.0,94.0,95.0,93.0,93.0,2.0,0.0,0.0,-5.0,-4.0,-4.0,0.0,-1.0,-1.0,-4.0,-4.0,-4.0,1021.0,1019.0,1018.0,1019.0,1018.0,1017.0,0.0,0.0,0.0
2009-03-06,-0.3333333333333333,0.0,-1.0,-0.20833333333333334,-0.9583333333333334,-1.2916666666666667,-1.4166666666666667,-1.875,-2.0833333333333335,1015.375,1020.125,1018.25,96.0,97.0,96.0,90.0,95.0,93.0,2.0,2.0,0.0,-2.0,-5.0,-4.0,0.0,0.0,-1.0,-3.0,-4.0,-4.0,1019.0,1021.0,1019.0,1011.0,1019.0,1018.0,0.0,0.0,0.0
2009-03-07,2.375,4.0,0.0,-0.3333333333333333,-0.20833333333333334,-0.9583333333333334,-1.7083333333333333,-1.4166666666666667,-1.875,1006.2916666666666,1015.375,1020.125,96.0,96.0,97.0,90.0,90.0,95.0,0.0,2.0,2.0,-1.0,-2.0,-5.0,0.0,0.0,0.0,-3.0,-3.0,-4.0,1011.0,1019.0,1021.0,1003.0,1011.0,1019.0,0.0,0.0,0.0
